Date,Price,Target_RV,RV_Daily,RV_Weekly,RV_Monthly,middle_east__log_fatal_ewma_94_lag0,middle_east__log_fatal_ewma_94_lag1,global__log_fatal_ewma_94_lag0,global__log_fatal_ewma_94_lag1
2016-05-17,1276.9,3.840760518269589e-06,4.480565994439277e-06,1.7926074184093626e-05,9.960630220466542e-05,4.825463785160737,4.783910608558347,5.408857159957631,5.371510079063018
2016-05-18,1274.4,0.0002402277511739,3.840760518269589e-06,4.500622991897812e-06,9.97761123854055e-05,4.814599411999575,4.825463785160737,5.42284015461646,5.408857159957631
2016-05-19,1254.8,2.2962342979306448e-06,0.0002402277511739,5.0265452302451786e-05,9.976568918329438e-05,4.795041629463529,4.814599411999575,5.438280101880497,5.42284015461646
2016-05-20,1252.9,1.2499964020087113e-06,2.2962342979306448e-06,5.044655334368773e-05,9.986977457467976e-05,4.74992220776579,4.795041629463529,5.382634866158678,5.438280101880497
2016-05-23,1251.5,0.0003232545314508,1.2499964020087113e-06,5.041906167731257e-05,9.943940707702668e-05,4.834379060269374,4.74992220776579,5.410558941670467,5.382634866158678
2016-05-24,1229.2,1.938446492953562e-05,0.0003232545314508,0.0001141738547685,0.0001019529893228,4.830557394121152,4.834379060269374,5.405888532766161,5.410558941670467
2016-05-25,1223.8,7.740070316129506e-06,1.938446492953562e-05,0.0001172825956508,9.973398242868856e-05,4.703206962540016,4.830557394121152,5.338962787269095,5.405888532766161
2016-05-26,1220.4,9.21971311264625e-06,7.740070316129506e-06,7.07850594792949e-05,9.978396543770598e-05,4.654523762674252,4.703206962540016,5.350390765283635,5.338962787269095
2016-05-27,1216.7,4.3204350472879154e-07,9.21971311264625e-06,7.2169755242238e-05,9.877048459308608e-05,4.707728149623303,4.654523762674252,5.375466579114243,5.350390765283635
2016-05-30,1217.5,5.30124492186355e-06,4.3204350472879154e-07,7.200616466278203e-05,9.144174360561108e-05,4.867115407619186,4.707728149623303,5.511649747476217,5.375466579114243
2016-06-01,1214.7,2.994000618505961e-06,5.30124492186355e-06,8.41550735698082e-06,7.552909784773041e-05,5.013021115435999,4.867115407619186,5.614711492985806,5.511649747476217
2016-06-02,1212.6,0.0006091292577549,2.994000618505961e-06,5.137414494774888e-06,7.490164760289021e-05,5.023146861527364,5.013021115435999,5.612612592965831,5.614711492985806
2016-06-03,1242.9,1.3061186390235297e-05,0.0006091292577549,0.0001254152519825,0.0001021548672294,5.0594153166571605,5.023146861527364,5.6487323232932125,5.612612592965831
2016-06-06,1247.4,1.0286029978670601e-07,1.3061186390235297e-05,0.000126183546638,9.438929206029632e-05,5.05438014239238,5.0594153166571605,5.615361810087943,5.6487323232932125
2016-06-07,1247.0,0.0001487128318967,1.0286029978670601e-07,0.000126117709997,9.427033848182138e-05,5.014784283129183,5.05438014239238,5.583324363381734,5.615361810087943
2016-06-08,1262.3,6.73248842953936e-05,0.0001487128318967,0.000154800027392,8.802943552812559e-05,5.019153006255375,5.014784283129183,5.585112587962114,5.583324363381734
2016-06-09,1272.7,6.3060447287646496e-06,6.73248842953936e-05,0.0001676662041274,7.026930362850713e-05,5.022138078013267,5.019153006255375,5.594969411838883,5.585112587962114
2016-06-10,1275.9,7.369215637379113e-05,6.3060447287646496e-06,4.710156152218952e-05,7.046401125149116e-05,4.981438118643692,5.022138078013267,5.574092691458179,5.594969411838883
2016-06-13,1286.9,8.686965156295968e-07,7.369215637379113e-05,5.922775551890069e-05,7.058783579215217e-05,4.9996609720805685,4.981438118643692,5.616905577818171,5.574092691458179
2016-06-14,1288.1,2.4104237812255404e-08,8.686965156295968e-07,5.938092276206926e-05,7.010897633281059e-05,5.028017554176024,4.9996609720805685,5.622715211479643,5.616905577818171
2016-06-15,1288.3,6.0983876445797294e-05,2.4104237812255404e-08,2.9643177230278336e-05,7.004685702126792e-05,5.009446433203168,5.028017554176024,5.618062945459639,5.622715211479643
2016-06-16,1298.4,7.708919755501485e-06,6.0983876445797294e-05,2.8374975660359076e-05,7.275578528090033e-05,5.023701091540607,5.009446433203168,5.624000830816433,5.618062945459639
2016-06-17,1294.8,4.35741128078668e-06,7.708919755501485e-06,2.8655550665706443e-05,7.290252863367588e-05,5.03077883943833,5.023701091540607,5.603856802809119,5.624000830816433
2016-06-20,1292.1,0.0002336413836283,4.35741128078668e-06,1.4788601647105549e-05,7.292601275924483e-05,5.087143411608127,5.03077883943833,5.60812319440229,5.603856802809119
2016-06-21,1272.5,3.867393521793715e-06,0.0002336413836283,6.13431390696437e-05,7.26266324162633e-05,5.093157955262085,5.087143411608127,5.609937082898178,5.60812319440229
2016-06-22,1270.0,2.9679436511352056e-05,3.867393521793715e-06,6.211179692643999e-05,7.269804874462071e-05,5.088605268155256,5.093157955262085,5.601928671040177,5.609937082898178
2016-06-23,1263.1,0.0021049056472603,2.9679436511352056e-05,5.585090893955095e-05,7.399029602231812e-05,5.05588663900214,5.088605268155256,5.573960857000782,5.601928671040177
2016-06-24,1322.4,3.019779175412648e-06,0.0021049056472603,0.0004752902544405,0.00015497443765,5.067354884991641,5.05588663900214,5.595457916827616,5.573960857000782
2016-06-27,1324.7,2.6486030361312e-05,3.019779175412648e-06,0.0004750227280194,0.0001542305882975,5.11567312392676,5.067354884991641,5.621600892612984,5.595457916827616
2016-06-28,1317.9,4.631937497294545e-05,2.6486030361312e-05,0.000433591657366,0.0001550826773905,5.157040834626143,5.11567312392676,5.645711694633866,5.621600892612984
2016-06-29,1326.9,2.2650134858876014e-05,4.631937497294545e-05,0.0004420820536562,0.0001567690256569,5.131790291452244,5.157040834626143,5.610343741276733,5.645711694633866
