"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"02/20/2024,""1.646"",""1.620"",""1.783"",""1.600"",""178.44K"",""5.65%"""
"02/19/2024,""1.558"",""1.552"",""1.583"",""1.540"","""",""0.45%"""
"02/18/2024,""1.551"",""1.527"",""1.565"",""1.527"","""",""-7.68%"""
"02/16/2024,""1.680"",""1.654"",""1.704"",""1.638"",""146.71K"",""2.00%"""
"02/15/2024,""1.647"",""1.672"",""1.718"",""1.633"",""142.08K"",""-1.08%"""
"02/14/2024,""1.665"",""1.725"",""1.744"",""1.640"",""162.74K"",""-4.42%"""
"02/13/2024,""1.742"",""1.793"",""1.826"",""1.707"",""195.55K"",""-3.22%"""
"02/12/2024,""1.800"",""1.841"",""1.890"",""1.770"",""154.30K"",""-4.51%"""
"02/09/2024,""1.885"",""1.915"",""1.921"",""1.852"",""141.20K"",""-3.23%"""
"02/08/2024,""1.948"",""1.981"",""1.994"",""1.900"",""130.05K"",""-1.62%"""
"02/07/2024,""1.980"",""2.000"",""2.035"",""1.967"",""108.62K"",""-1.35%"""
"02/06/2024,""2.007"",""2.054"",""2.072"",""1.996"",""85.69K"",""-3.23%"""
"02/05/2024,""2.074"",""2.114"",""2.130"",""2.045"",""72.51K"",""-0.58%"""
"02/02/2024,""2.086"",""2.067"",""2.106"",""2.034"",""61.51K"",""1.07%"""
"02/01/2024,""2.064"",""2.151"",""2.177"",""2.047"",""90.38K"",""-2.69%"""
"01/31/2024,""2.121"",""2.112"",""2.175"",""2.063"",""63.90K"",""0.81%"""
"01/30/2024,""2.104"",""2.095"",""2.143"",""2.082"",""71.41K"",""2.43%"""
"01/29/2024,""2.054"",""2.159"",""2.166"",""2.047"",""164.62K"",""-5.56%"""
"01/26/2024,""2.175"",""2.190"",""2.235"",""2.093"",""214.99K"",""-0.23%"""
"01/25/2024,""2.180"",""2.288"",""2.334"",""2.158"",""188.52K"",""-3.63%"""
"01/24/2024,""2.262"",""2.213"",""2.290"",""2.190"",""182.13K"",""4.38%"""
"01/23/2024,""2.167"",""2.133"",""2.194"",""2.079"",""141.10K"",""1.98%"""
"01/22/2024,""2.125"",""2.165"",""2.187"",""2.114"",""184.49K"",""-5.64%"""
"01/19/2024,""2.252"",""2.420"",""2.421"",""2.237"",""169.18K"",""-6.67%"""
"01/18/2024,""2.413"",""2.496"",""2.496"",""2.364"",""138.74K"",""-3.33%"""
"01/17/2024,""2.496"",""2.438"",""2.516"",""2.402"",""126.63K"",""0.77%"""
"01/16/2024,""2.477"",""2.545"",""2.545"",""2.409"",""174.05K"",""-19.21%"""
"01/15/2024,""3.066"",""3.112"",""3.188"",""3.055"","""",""-1.45%"""
"01/14/2024,""3.111"",""3.104"",""3.137"",""3.077"","""",""18.88%"""
"01/12/2024,""2.617"",""2.557"",""2.647"",""2.543"",""172.29K"",""3.03%"""
"01/11/2024,""2.540"",""2.551"",""2.644"",""2.494"",""179.05K"",""-0.86%"""
"01/10/2024,""2.562"",""2.697"",""2.710"",""2.535"",""186.15K"",""-5.01%"""
"01/09/2024,""2.697"",""2.565"",""2.791"",""2.529"",""248.56K"",""3.81%"""
"01/08/2024,""2.598"",""2.649"",""2.654"",""2.430"",""173.15K"",""-0.88%"""
"01/05/2024,""2.621"",""2.580"",""2.631"",""2.467"",""118.41K"",""2.42%"""
"01/04/2024,""2.559"",""2.472"",""2.590"",""2.467"",""118.26K"",""4.53%"""
"01/03/2024,""2.448"",""2.381"",""2.503"",""2.367"",""110.28K"",""2.60%"""
"01/02/2024,""2.386"",""2.398"",""2.467"",""2.349"",""83.73K"",""-10.54%"""
"01/01/2024,""2.667"",""2.614"",""2.670"",""2.614"","""",""14.61%"""
