Date,fatal,log_fatal,log_fatal_ewma_94
1998-11-07,0.0,0.0,0.09835720511752165
1998-11-08,0.0,0.0,0.09245577281047035
1998-11-09,0.0,0.0,0.08690842644184213
1998-11-10,0.0,0.0,0.0816939208553316
1998-11-11,0.0,0.0,0.0767922856040117
1998-11-12,0.0,0.0,0.072184748467771
1998-11-13,0.0,0.0,0.06785366355970474
1998-11-14,0.0,0.0,0.06378244374612245
1998-11-15,0.0,0.0,0.059955497121355096
1998-11-16,0.0,0.0,0.05635816729407379
1998-11-17,0.0,0.0,0.05297667725642936
1998-11-18,0.0,0.0,0.049798076621043595
1998-11-19,0.0,0.0,0.04681019202378098
1998-11-20,0.0,0.0,0.044001580502354115
1998-11-21,0.0,0.0,0.041361485672212865
1998-11-22,0.0,0.0,0.03887979653188009
1998-11-23,0.0,0.0,0.03654700873996728
1998-11-24,0.0,0.0,0.034354188215569244
1998-11-25,0.0,0.0,0.03229293692263509
1998-11-26,0.0,0.0,0.03035536070727698
1998-11-27,1.0,0.6931471805599453,0.07012286989843712
1998-11-28,0.0,0.0,0.0659154977045309
1998-11-29,0.0,0.0,0.06196056784225904
1998-11-30,0.0,0.0,0.058242933771723494
1998-12-01,0.0,0.0,0.054748357745420084
1998-12-02,0.0,0.0,0.051463456280694875
1998-12-03,0.0,0.0,0.04837564890385318
1998-12-04,0.0,0.0,0.045473109969621985
1998-12-05,0.0,0.0,0.042744723371444665
1998-12-06,0.0,0.0,0.040180039969157984
1998-12-07,0.0,0.0,0.0377692375710085
1998-12-08,0.0,0.0,0.03550308331674799
1998-12-09,0.0,0.0,0.03337289831774311
1998-12-10,0.0,0.0,0.03137052441867852
1998-12-11,0.0,0.0,0.029488292953557805
1998-12-12,0.0,0.0,0.027718995376344334
1998-12-13,0.0,0.0,0.02605585565376367
1998-12-14,0.0,0.0,0.02449250431453785
1998-12-15,0.0,0.0,0.023022954055665578
1998-12-16,0.0,0.0,0.021641576812325643
1998-12-17,0.0,0.0,0.020343082203586105
1998-12-18,0.0,0.0,0.01912249727137094
1998-12-19,0.0,0.0,0.01797514743508868
1998-12-20,0.0,0.0,0.01689663858898336
1998-12-21,2.0,1.0986122886681098,0.08179957759373102
1998-12-22,0.0,0.0,0.07689160293810715
1998-12-23,0.0,0.0,0.07227810676182071
1998-12-24,0.0,0.0,0.06794142035611146
1998-12-25,0.0,0.0,0.06386493513474477
1998-12-26,0.0,0.0,0.06003303902666008
1998-12-27,0.0,0.0,0.056431056685060474
1998-12-28,0.0,0.0,0.05304519328395684
1998-12-29,0.0,0.0,0.04986248168691943
1998-12-30,0.0,0.0,0.046870732785704264
1998-12-31,0.0,0.0,0.044058488818562
1999-01-01,9.0,2.302585092994046,0.17957008506909117
1999-01-02,0.0,0.0,0.1687958799649457
1999-01-03,0.0,0.0,0.15866812716704895
1999-01-04,0.0,0.0,0.14914803953702602
1999-01-05,0.0,0.0,0.14019915716480444
1999-01-06,0.0,0.0,0.13178720773491617
1999-01-07,0.0,0.0,0.1238799752708212
1999-01-08,0.0,0.0,0.11644717675457192
1999-01-09,0.0,0.0,0.1094603461492976
1999-01-10,0.0,0.0,0.10289272538033974
1999-01-11,0.0,0.0,0.09671916185751935
1999-01-12,0.0,0.0,0.09091601214606818
1999-01-13,0.0,0.0,0.08546105141730408
1999-01-14,0.0,0.0,0.08033338833226583
1999-01-15,5.0,1.791759469228055,0.1830189531860133
1999-01-16,0.0,0.0,0.1720378159948525
1999-01-17,0.0,0.0,0.16171554703516133
1999-01-18,0.0,0.0,0.15201261421305165
1999-01-19,0.0,0.0,0.14289185736026855
1999-01-20,0.0,0.0,0.13431834591865244
1999-01-21,0.0,0.0,0.1262592451635333
1999-01-22,0.0,0.0,0.11868369045372129
1999-01-23,0.0,0.0,0.111562669026498
1999-01-24,0.0,0.0,0.10486890888490812
1999-01-25,0.0,0.0,0.09857677435181363
1999-01-26,0.0,0.0,0.0926621678907048
1999-01-27,0.0,0.0,0.08710243781726251
1999-01-28,0.0,0.0,0.08187629154822676
1999-01-29,0.0,0.0,0.07696371405533314
1999-01-30,0.0,0.0,0.07234589121201315
1999-01-31,0.0,0.0,0.06800513773929236
1999-02-01,0.0,0.0,0.06392482947493482
1999-02-02,0.0,0.0,0.060089339706438726
1999-02-03,0.0,0.0,0.0564839793240524
1999-02-04,1.0,0.6931471805599453,0.09468377139820602
1999-02-05,0.0,0.0,0.08900274511431366
1999-02-06,0.0,0.0,0.08366258040745483
1999-02-07,3.0,1.3862943611198906,0.16182048725020107
1999-02-08,0.0,0.0,0.152111258015189
1999-02-09,0.0,0.0,0.14298458253427765
1999-02-10,0.0,0.0,0.13440550758222097
1999-02-11,0.0,0.0,0.1263411771272877
1999-02-12,0.0,0.0,0.11876070649965044
1999-02-13,0.0,0.0,0.1116350641096714
1999-02-14,0.0,0.0,0.10493696026309111
1999-02-15,0.0,0.0,0.09864074264730564
1999-02-16,0.0,0.0,0.0927222980884673
1999-02-17,6.0,1.9459101490553132,0.20391356914647818
1999-02-18,1.0,0.6931471805599453,0.23326758583128623
1999-02-19,3.0,1.3862943611198906,0.30244919234860257
1999-02-20,0.0,0.0,0.2843022408076864
1999-02-21,1.0,0.6931471805599453,0.30883293719282195
1999-02-22,0.0,0.0,0.29030296096125263
1999-02-23,0.0,0.0,0.27288478330357746
1999-02-24,0.0,0.0,0.2565116963053628
