Date,Price,Open,Vol.,Change %,Log_Ret,RV_Daily,RV_Weekly,RV_Monthly
2000-08-17,4.406,4.42,24480.0,-0.16,-0.0015874819072589567,2.520098805874535e-06,0.0006761960213110274,0.0006559992155343443
2000-08-18,4.436,4.39,15530.0,0.68,0.006785821107969329,4.604736810936209e-05,0.000684915355343187,0.0005840179124742263
2000-08-21,4.747,4.53,34230.0,7.01,0.06775977008106035,0.0045913864414381615,0.001348094403944371,0.0007909709437725134
2000-08-22,4.52,4.75,49400.0,-4.78,-0.049000845725041216,0.00240108288176929,0.0017511245228855638,0.0008980348089696906
2000-08-23,4.605,4.534,38720.0,1.88,0.018630675863130622,0.00034710208311703795,0.001477627774647943,0.0008686240498125854
2000-08-24,4.54,4.586,27920.0,-1.41,-0.014215657654013671,0.00020208492253611746,0.0015175407393939917,0.00086769731639393
2000-08-25,4.628,4.545,24800.0,1.94,0.01919779727817363,0.0003685554203338508,0.0015820423498388897,0.0008494385071223672
2000-08-28,4.685,4.61,49140.0,1.23,0.012241106358955218,0.00014984468489125387,0.000693733998529508,0.0008459760618823371
2000-08-29,4.618,4.7,49940.0,-1.43,-0.014404204758081712,0.00020748111471274384,0.00025501364511819867,0.0008534728451994288
2000-08-30,4.801,4.64,34950.0,3.96,0.03886251861649971,0.0015102953532177867,0.0004876522991383484,0.0009063325949138893
2000-08-31,4.782,4.811,25790.0,-0.4,-0.003965360512670368,1.5724083995445406e-05,0.00045038013143021405,0.000770028796521005
2000-09-01,4.835,4.78,110.0,1.11,0.011022259869124593,0.00012149021262251449,0.0004009670898879467,0.0006361785115758524
2000-09-05,4.95,4.85,26100.0,2.38,0.023506447675341317,0.0005525530823135592,0.0004815087693724078,0.0006580053156410206
2000-09-06,5.071,4.955,32760.0,2.44,0.024150460232282907,0.0005832447294310782,0.0005566614923160747,0.000679248563197965
2000-09-07,4.998,5.069,38100.0,-1.44,-0.014500204400121255,0.0002102559276452958,0.00029665360720157653,0.0006822256649736854
2000-09-08,4.88,5.007,33310.0,-2.36,-0.02389261254770489,0.0005708569343547451,0.0004076801772734365,0.000699351031452196
2000-09-11,5.011,4.825,40100.0,2.68,0.026490276112531786,0.0007017347285181722,0.000523729080452568,0.0007310147654829783
2000-09-12,5.008,5.015,36080.0,-0.06,-0.000598862179790183,3.5863591038304945e-07,0.0004132901911719328,0.0007255035777941794
